region,period,scen,rem
70,2040,SSP1,4.784659889
70,2045,SSP1,5.365664651
70,2050,SSP1,5.907101755
70,2055,SSP1,6.32687326
70,2060,SSP1,6.800598227
70,2065,SSP1,7.257805485
70,2070,SSP1,7.579867513
70,2075,SSP1,7.912274869
70,2080,SSP1,8.090669511
70,2085,SSP1,7.9473484
70,2090,SSP1,7.796501996
70,2095,SSP1,7.091867997
70,2100,SSP1,6.439479422
112,2015,SSP1,NA
112,2020,SSP1,0.141999777
112,2025,SSP1,0.407973681
112,2030,SSP1,0.874951148
112,2035,SSP1,1.647064319
112,2040,SSP1,2.424356753
112,2045,SSP1,3.463852016
112,2050,SSP1,4.714568206
112,2055,SSP1,5.780086559
112,2060,SSP1,6.528224158
112,2065,SSP1,7.915807314
112,2070,SSP1,9.106334933
112,2075,SSP1,9.509609349
112,2080,SSP1,11.21398138
112,2085,SSP1,12.05375698
112,2090,SSP1,11.14081117
112,2095,SSP1,13.28616317
112,2100,SSP1,13.56875908
84,2015,SSP1,NA
84,2020,SSP1,-0.113446272
84,2025,SSP1,-0.101251289
84,2030,SSP1,-0.112116903
84,2035,SSP1,-0.138519494
84,2040,SSP1,-0.174882714
84,2045,SSP1,-0.236403787
84,2050,SSP1,-0.303212982
84,2055,SSP1,-0.389295725
84,2060,SSP1,-0.473168148
84,2065,SSP1,-0.556239037
84,2070,SSP1,-0.676965633
84,2075,SSP1,-0.75871779
84,2080,SSP1,-0.922663866
84,2085,SSP1,-0.982236966
84,2090,SSP1,-1.015801051
84,2095,SSP1,-1.241657851
84,2100,SSP1,-1.232576807
68,2015,SSP1,NA
68,2020,SSP1,2.217930045
68,2025,SSP1,2.534044712
68,2030,SSP1,2.944320109
68,2035,SSP1,3.400676543
68,2040,SSP1,3.921519232
68,2045,SSP1,4.486013517
68,2050,SSP1,4.985674659
68,2055,SSP1,5.442271098
68,2060,SSP1,6.016511013
68,2065,SSP1,6.468511699
68,2070,SSP1,6.91498567
68,2075,SSP1,7.43520527
68,2080,SSP1,7.727598108
68,2085,SSP1,7.951065966
68,2090,SSP1,8.538587676
68,2095,SSP1,8.134468439
68,2100,SSP1,7.755812662
