year,countrycode,scenario,hdi.proj
2095,COD,SSP1,NA
2010,COG,SSP1,0.519676837
2015,COG,SSP1,0.548224397
2020,COG,SSP1,0.590506137
2025,COG,SSP1,0.628029512
2030,COG,SSP1,0.658578015
2035,COG,SSP1,0.682191677
2040,COG,SSP1,0.70169832
2045,COG,SSP1,0.718439386
2050,COG,SSP1,0.730581888
2055,COG,SSP1,0.740149076
2060,COG,SSP1,0.746849019
2065,COG,SSP1,0.75416333
2070,COG,SSP1,0.7616179
2075,COG,SSP1,0.768408383
2080,COG,SSP1,NA
2085,COG,SSP1,NA
2090,COG,SSP1,NA
2095,COG,SSP1,NA
2010,COL,SSP1,0.669541795
2015,COL,SSP1,0.687486489
2020,COL,SSP1,0.70675233
2025,COL,SSP1,0.72423494
2030,COL,SSP1,0.740091397
2035,COL,SSP1,0.753416064
2040,COL,SSP1,0.767014228
2045,COL,SSP1,0.780024421
2050,COL,SSP1,0.789722411
2055,COL,SSP1,0.795692194
2060,COL,SSP1,0.797717244
2065,COL,SSP1,0.799257503
2070,COL,SSP1,0.80045669
2075,COL,SSP1,0.801450939
2080,COL,SSP1,NA
2085,COL,SSP1,NA
2090,COL,SSP1,NA
2095,COL,SSP1,NA
2010,COM,SSP1,0.419056984
2015,COM,SSP1,0.44230698
2020,COM,SSP1,0.469005663
2025,COM,SSP1,0.499885114
2030,COM,SSP1,0.529241889
2035,COM,SSP1,0.556695001
2040,COM,SSP1,0.583616733
2045,COM,SSP1,0.607448089
2050,COM,SSP1,0.629679851
2055,COM,SSP1,0.647291191
2060,COM,SSP1,0.660715323
2065,COM,SSP1,0.672845389
2070,COM,SSP1,0.683913462
2075,COM,SSP1,0.693629832
2080,COM,SSP1,NA
2085,COM,SSP1,NA
2090,COM,SSP1,NA
2095,COM,SSP1,NA
2010,CPV,SSP1,0.555850283
2015,CPV,SSP1,0.583688574
2020,CPV,SSP1,0.611623035
2025,CPV,SSP1,0.631745256
2030,CPV,SSP1,0.648361862
2035,CPV,SSP1,0.663121719
2040,CPV,SSP1,0.677590065
2045,CPV,SSP1,0.691637448
2050,CPV,SSP1,0.70378282
2055,CPV,SSP1,0.713788259
2060,CPV,SSP1,0.720686198
2065,CPV,SSP1,0.727477821
2070,CPV,SSP1,0.735517926
2075,CPV,SSP1,0.743599626
2080,CPV,SSP1,NA
2085,CPV,SSP1,NA
2090,CPV,SSP1,NA
2095,CPV,SSP1,NA
2010,CRI,SSP1,0.698483227
2015,CRI,SSP1,0.712994669
2020,CRI,SSP1,0.727159029
2025,CRI,SSP1,0.739307447
2030,CRI,SSP1,0.750081191
2035,CRI,SSP1,0.758938305
2040,CRI,SSP1,0.767319672
2045,CRI,SSP1,0.775439689
2050,CRI,SSP1,0.782787694
2055,CRI,SSP1,0.788874373
2060,CRI,SSP1,0.791927984
2065,CRI,SSP1,0.794468887
2070,CRI,SSP1,0.796903648
2075,CRI,SSP1,0.799308616
2080,CRI,SSP1,NA
2085,CRI,SSP1,NA
2090,CRI,SSP1,NA
2095,CRI,SSP1,NA
2010,CUB,SSP1,0.701235634
2015,CUB,SSP1,0.715767892
2020,CUB,SSP1,0.733743201
2025,CUB,SSP1,0.747715138
2030,CUB,SSP1,0.759440012
2035,CUB,SSP1,0.768326922
2040,CUB,SSP1,0.776009493
2045,CUB,SSP1,0.782262637
2050,CUB,SSP1,0.785673607
2055,CUB,SSP1,0.7871816
2060,CUB,SSP1,0.786432615
2065,CUB,SSP1,0.787029544
2070,CUB,SSP1,0.788523075
2075,CUB,SSP1,0.790288658
2080,CUB,SSP1,NA
2085,CUB,SSP1,NA
2090,CUB,SSP1,NA
2095,CUB,SSP1,NA
2010,CYP,SSP1,0.823626686
2015,CYP,SSP1,0.837001526
2020,CYP,SSP1,0.854877198
2025,CYP,SSP1,0.870712142
2030,CYP,SSP1,0.882278506
2035,CYP,SSP1,0.889991844
2040,CYP,SSP1,0.896078379
2045,CYP,SSP1,0.900878396
2050,CYP,SSP1,0.902620217
2055,CYP,SSP1,0.902087451
2060,CYP,SSP1,0.898935346
2065,CYP,SSP1,0.896734019
2070,CYP,SSP1,0.895238578
2075,CYP,SSP1,0.893986286
2080,CYP,SSP1,NA
2085,CYP,SSP1,NA
2090,CYP,SSP1,NA
2095,CYP,SSP1,NA
2010,CZE,SSP1,0.81177614
2015,CZE,SSP1,0.819268604
2020,CZE,SSP1,0.824673464
2025,CZE,SSP1,0.829367722
2030,CZE,SSP1,0.834991062
2035,CZE,SSP1,0.840840044
2040,CZE,SSP1,0.847160742
2045,CZE,SSP1,0.852725307
2050,CZE,SSP1,0.855345385
2055,CZE,SSP1,0.855780996
2060,CZE,SSP1,0.853773259
2065,CZE,SSP1,0.853242309
2070,CZE,SSP1,0.853473512
2075,CZE,SSP1,0.854075592
2080,CZE,SSP1,NA
2085,CZE,SSP1,NA
2090,CZE,SSP1,NA
2095,CZE,SSP1,NA
2010,DEU,SSP1,0.870534427
2015,DEU,SSP1,0.873746337
2020,DEU,SSP1,0.87727652
2025,DEU,SSP1,0.881041127
2030,DEU,SSP1,0.885198103
2035,DEU,SSP1,0.889084175
2040,DEU,SSP1,0.893364643
2045,DEU,SSP1,0.897514799
