countrycode,year,gii,scenario
JPN,2002,0.089755456,Observed
KAZ,2002,0.340603571,Observed
KEN,2002,0.665724059,Observed
KGZ,2002,0.405134269,Observed
KHM,2002,0.578893953,Observed
KOR,2002,0.078461631,Observed
KWT,2002,0.360911222,Observed
LAO,2002,0.550211946,Observed
LBN,2002,0.461005269,Observed
LBR,2002,0.696061994,Observed
LCA,2002,0.434188824,Observed
LKA,2002,0.435377429,Observed
LTU,2002,0.196924878,Observed
LUX,2002,0.099553234,Observed
LVA,2002,0.219197707,Observed
MAR,2002,0.548121235,Observed
MDA,2002,0.301540923,Observed
MDV,2002,0.447419176,Observed
MEX,2002,0.447709629,Observed
MKD,2002,0.189071631,Observed
MLI,2002,0.690204133,Observed
MLT,2002,0.235809189,Observed
MNG,2002,0.389519175,Observed
MOZ,2002,0.611442941,Observed
MUS,2002,0.448359289,Observed
MWI,2002,0.662299952,Observed
MYS,2002,0.271138112,Observed
NAM,2002,0.522862308,Observed
NER,2002,0.780343869,Observed
NGA,2002,0.717469245,Observed
NIC,2002,0.526177086,Observed
NLD,2002,0.019936141,Observed
NOR,2002,0.011556991,Observed
NPL,2002,0.649164928,Observed
NZL,2002,0.140385744,Observed
PAK,2002,0.625449303,Observed
PAN,2002,0.499200993,Observed
PER,2002,0.469345386,Observed
PHL,2002,0.468640546,Observed
POL,2002,0.092358151,Observed
PRK,2002,0.065529105,Observed
PRT,2002,0.123076698,Observed
PRY,2002,0.614002784,Observed
ROU,2002,0.357210855,Observed
RUS,2002,0.358761772,Observed
RWA,2002,0.547801818,Observed
SDN,2002,0.687822905,Observed
SEN,2002,0.627230704,Observed
SGP,2002,0.116562193,Observed
SLB,2002,0.668411251,Observed
SLV,2002,0.489580188,Observed
SUR,2002,0.532168039,Observed
SVK,2002,0.130511374,Observed
SVN,2002,0.04384447,Observed
SWE,2002,0.01,Observed
SWZ,2002,0.684343906,Observed
TGO,2002,0.669539881,Observed
THA,2002,0.375117621,Observed
TJK,2002,0.381481455,Observed
TKM,2002,0.218249629,Observed
TTO,2002,0.376262655,Observed
TUN,2002,0.323449296,Observed
TZA,2002,0.612150997,Observed
UGA,2002,0.606824382,Observed
URY,2002,0.343631725,Observed
USA,2002,0.235614984,Observed
VCT,2002,0.392897096,Observed
VEN,2002,0.527017731,Observed
VNM,2002,0.298269193,Observed
VUT,2002,0.580534578,Observed
WSM,2002,0.453405424,Observed
YEM,2002,0.834546061,Observed
ZAF,2002,0.44828794,Observed
ZMB,2002,0.630157337,Observed
ZWE,2002,0.61561607,Observed
AGO,2003,0.659373889,Observed
ALB,2003,0.282835459,Observed
ARE,2003,0.420161343,Observed
ARG,2003,0.373250738,Observed
ARM,2003,0.386490028,Observed
AUS,2003,0.088920454,Observed
AUT,2003,0.050577965,Observed
AZE,2003,0.342744773,Observed
BDI,2003,0.598102459,Observed
BEL,2003,0.031434522,Observed
BEN,2003,0.664908166,Observed
BFA,2003,0.638690997,Observed
BGD,2003,0.728119515,Observed
BGR,2003,0.215918679,Observed
BHR,2003,0.435909116,Observed
BHS,2003,0.368541439,Observed
BIH,2003,0.185020086,Observed
BLR,2003,0.215114875,Observed
BLZ,2003,0.557584315,Observed
BOL,2003,0.535880363,Observed
BRA,2003,0.46610382,Observed
BTN,2003,0.570599574,Observed
BWA,2003,0.496445102,Observed
CAN,2003,0.080339043,Observed
CHE,2003,0.01,Observed
CHL,2003,0.369773247,Observed
CHN,2003,0.190316234,Observed
CIV,2003,0.689196436,Observed
CMR,2003,0.657074838,Observed
COG,2003,0.651903989,Observed
COL,2003,0.478745933,Observed
CPV,2003,0.496336344,Observed
CRI,2003,0.346268785,Observed
CUB,2003,0.325161662,Observed
CYP,2003,0.075534705,Observed
CZE,2003,0.076799235,Observed
DEU,2003,0.039968855,Observed
DNK,2003,0.01,Observed
DOM,2003,0.475613171,Observed
DZA,2003,0.540502635,Observed
ECU,2003,0.475758878,Observed
EGY,2003,0.593360164,Observed
ESP,2003,0.053505071,Observed
EST,2003,0.197717442,Observed
ETH,2003,0.670094429,Observed
FIN,2003,0.013320195,Observed
FJI,2003,0.452874364,Observed
FRA,2003,0.067877617,Observed
GAB,2003,0.627070858,Observed
GBR,2003,0.159384979,Observed
GEO,2003,0.388096515,Observed
GHA,2003,0.582280242,Observed
GIN,2003,0.663819311,Observed
GMB,2003,0.660216156,Observed
GNQ,2003,0.686528663,Observed
GRC,2003,0.142507929,Observed
GTM,2003,0.567960207,Observed
GUY,2003,0.558980911,Observed
HND,2003,0.544205146,Observed
HTI,2003,0.622431439,Observed
HUN,2003,0.214136625,Observed
IDN,2003,0.558771213,Observed
IND,2003,0.615421247,Observed
IRL,2003,0.143998863,Observed
IRN,2003,0.520380002,Observed
ISL,2003,0.067606579,Observed
ISR,2003,0.111211849,Observed
ITA,2003,0.088452336,Observed
JAM,2003,0.453978792,Observed
JOR,2003,0.558585812,Observed
JPN,2003,0.08980372,Observed
KAZ,2003,0.334846021,Observed
KEN,2003,0.634469342,Observed
KGZ,2003,0.403232472,Observed
KHM,2003,0.561013799,Observed
KOR,2003,0.082285608,Observed
KWT,2003,0.356343788,Observed
LAO,2003,0.545143053,Observed
LBN,2003,0.45400086,Observed
LBR,2003,0.689459666,Observed
LCA,2003,0.432587874,Observed
LKA,2003,0.432233627,Observed
LSO,2003,0.591217356,Observed
LTU,2003,0.192312318,Observed
LUX,2003,0.094027908,Observed
LVA,2003,0.212195478,Observed
MAR,2003,0.536385277,Observed
MDA,2003,0.294877034,Observed
MDG,2003,0.670121271,Observed
MDV,2003,0.435220107,Observed
MEX,2003,0.425600364,Observed
MKD,2003,0.164253161,Observed
MLI,2003,0.68823835,Observed
