ccode,year,ssp,hc.source,extreme.Poor,gdp.capita
ATG,2023,SSP1,regression,1508,24198.02
ATG,2023,SSP2,regression,1508,24198.02
ATG,2023,SSP3,regression,1508,24198.02
ATG,2023,SSP4,regression,1508,24198.02
ATG,2023,SSP5,regression,1508,24198.02
ATG,2024,SSP1,regression,1453,24576.24
ATG,2024,SSP2,regression,1453,24576.24
ATG,2024,SSP3,regression,1453,24576.24
ATG,2024,SSP4,regression,1453,24576.24
ATG,2024,SSP5,regression,1453,24576.24
ATG,2025,SSP1,regression,1400,24966.28
ATG,2025,SSP2,regression,1400,24966.28
ATG,2025,SSP3,regression,1400,24966.28
ATG,2025,SSP4,regression,1400,24966.28
ATG,2025,SSP5,regression,1400,24966.28
ATG,2026,SSP1,regression,1348,25368.63
ATG,2026,SSP2,regression,1348,25368.63
ATG,2026,SSP3,regression,1348,25368.63
ATG,2026,SSP4,regression,1348,25368.63
ATG,2026,SSP5,regression,1348,25368.63
ATG,2027,SSP1,regression,1298,25784.03
ATG,2027,SSP2,regression,1298,25784.03
ATG,2027,SSP3,regression,1298,25784.03
ATG,2027,SSP4,regression,1298,25784.03
ATG,2027,SSP5,regression,1298,25784.03
ATG,2028,SSP1,regression,1248,26213.29
ATG,2028,SSP2,regression,1248,26213.29
ATG,2028,SSP3,regression,1248,26213.29
ATG,2028,SSP4,regression,1248,26213.29
ATG,2028,SSP5,regression,1248,26213.29
ATG,2029,SSP1,regression,1200,26656.7
ATG,2029,SSP2,regression,1200,26656.7
ATG,2029,SSP3,regression,1200,26656.7
ATG,2029,SSP4,regression,1200,26656.7
ATG,2029,SSP5,regression,1200,26656.7
ATG,2030,SSP1,regression,1153,27115.88
ATG,2030,SSP2,regression,1153,27115.88
ATG,2030,SSP3,regression,1153,27115.88
ATG,2030,SSP4,regression,1153,27115.88
ATG,2030,SSP5,regression,1153,27115.88
ATG,2031,SSP1,regression,1107,27591.22
ATG,2031,SSP2,regression,1107,27591.22
ATG,2031,SSP3,regression,1107,27591.22
ATG,2031,SSP4,regression,1107,27591.22
ATG,2031,SSP5,regression,1107,27591.22
AUS,2015,SSP1,survey,50305,44812.76
