region,period,scen,diffmig
96,2040,SSP1,25.1298803
96,2045,SSP1,30.48424889
96,2050,SSP1,35.90273127
96,2055,SSP1,41.3577894
96,2060,SSP1,46.79749032
96,2065,SSP1,52.14085622
96,2070,SSP1,57.30728381
96,2075,SSP1,62.23631156
96,2080,SSP1,66.87310865
96,2085,SSP1,71.15830017
96,2090,SSP1,75.02708925
96,2095,SSP1,78.40742732
96,2100,SSP1,81.25079931
64,2015,SSP1,0
64,2020,SSP1,0.475238966
64,2025,SSP1,0.586232181
64,2030,SSP1,0.447387259
64,2035,SSP1,0.124074435
64,2040,SSP1,-0.372191126
64,2045,SSP1,-1.052478295
64,2050,SSP1,-1.92826351
64,2055,SSP1,-2.996278361
64,2060,SSP1,-4.256909509
64,2065,SSP1,-5.686237443
64,2070,SSP1,-7.267709328
64,2075,SSP1,-9.006203551
64,2080,SSP1,-10.90539066
64,2085,SSP1,-12.96953942
64,2090,SSP1,-15.18062799
64,2095,SSP1,-17.50456866
64,2100,SSP1,-19.90739999
72,2015,SSP1,0
72,2020,SSP1,10.14972695
72,2025,SSP1,21.69127381
72,2030,SSP1,33.96249256
72,2035,SSP1,46.58961172
72,2040,SSP1,59.41252386
72,2045,SSP1,72.41872182
72,2050,SSP1,85.60559896
72,2055,SSP1,98.85983609
72,2060,SSP1,111.9952901
72,2065,SSP1,124.7750176
72,2070,SSP1,137.0232537
72,2075,SSP1,148.6309754
72,2080,SSP1,159.5954244
72,2085,SSP1,169.9714985
72,2090,SSP1,179.8149471
72,2095,SSP1,189.1492459
72,2100,SSP1,197.8607342
140,2015,SSP1,0
140,2020,SSP1,-69.77813633
140,2025,SSP1,-149.7038837
140,2030,SSP1,-232.9527502
140,2035,SSP1,-317.1040897
140,2040,SSP1,-401.6774346
140,2045,SSP1,-486.6294351
140,2050,SSP1,-571.4487918
140,2055,SSP1,-654.9178776
140,2060,SSP1,-735.1130312
140,2065,SSP1,-810.2470435
140,2070,SSP1,-879.017156
140,2075,SSP1,-941.1094169
140,2080,SSP1,-996.4939148
140,2085,SSP1,-1045.074046
140,2090,SSP1,-1085.895157
140,2095,SSP1,-1119.433141
140,2100,SSP1,-1146.274952
124,2015,SSP1,0
124,2020,SSP1,762.1261543
