countrycode,country,scenario,year,governance,gov.eff,corr.cont
CPV,Cape Verde,Observed,1998,0.667297727,0.578682066,0.560323987
CRI,Costa Rica,Observed,1998,0.709389285,0.572934734,0.639287417
CUB,Cuba,Observed,1998,0.388055201,0.403303222,0.515691539
CYP,Cyprus,Observed,1998,0.743427554,0.758327114,0.684118227
CZE,Czech Republic,Observed,1998,0.712100398,0.632178851,0.560932191
DEU,Germany,Observed,1998,0.873154576,0.887088422,0.90400865
DJI,Djibouti,Observed,1998,0.336186761,0.294989136,0.250990021
DNK,Denmark,Observed,1998,0.921883782,0.907602702,0.950680597
DOM,Dominican Republic,Observed,1998,0.460156376,0.398248646,0.269220363
DZA,Algeria,Observed,1998,0.29832807,0.335558635,0.227472213
ECU,Ecuador,Observed,1998,0.460996234,0.399703702,0.234939208
EGY,Egypt,Observed,1998,0.460965503,0.457280749,0.325529212
ERI,Eritrea,Observed,1998,0.423124934,0.327295899,0.616608747
ESP,Spain,Observed,1998,0.793301203,0.842154363,0.753233734
EST,Estonia,Observed,1998,0.708880467,0.62109011,0.580981306
ETH,Ethiopia,Observed,1998,0.356352336,0.316320975,0.29901978
FIN,Finland,Observed,1998,0.930505542,0.915768562,0.951385296
FJI,Fiji,Observed,1998,0.584807048,0.450467909,0.546453405
FRA,France,Observed,1998,0.790020016,0.812128727,0.752007078
GAB,Gabon,Observed,1998,0.469538774,0.39826053,0.208931243
GBR,United Kingdom,Observed,1998,0.893131004,0.897458165,0.916826539
GEO,Georgia,Observed,1998,0.352284069,0.386244307,0.208785566
GHA,Ghana,Observed,1998,0.493336995,0.48034258,0.371078609
GIN,Guinea,Observed,1998,0.348975199,0.345205865,0.205285097
GMB,Gambia,Observed,1998,0.473430153,0.41234723,0.327668696
GNB,Guinea-Bissau,Observed,1998,0.243802906,0.247206785,0.151046047
GNQ,Equatorial Guinea,Observed,1998,0.262313569,0.212808476,0.129339689
GRC,Greece,Observed,1998,0.71148669,0.662502014,0.612203061
GRD,Grenada,Observed,1998,0.66973135,0.587309897,0.592958299
GTM,Guatemala,Observed,1998,0.424926908,0.419332171,0.23273833
GUY,Guyana,Observed,1998,0.53187334,0.494609462,0.354903833
HKG,NA,Observed,1998,0.745535464,0.73766943,0.740876394
HND,Honduras,Observed,1998,0.445003112,0.392781283,0.214916758
HRV,Croatia,Observed,1998,0.492440596,0.51931199,0.302614628
HTI,Haiti,Observed,1998,0.320123106,0.255719381,0.153400528
HUN,Hungary,Observed,1998,0.74678643,0.705020856,0.607312675
IDN,Indonesia,Observed,1998,0.335185977,0.38035254,0.159575407
IND,India,Observed,1998,0.499763524,0.490994614,0.373577909
IRL,Ireland,Observed,1998,0.87697968,0.871290762,0.797637391
IRN,"Iran, Islamic Republic of",Observed,1998,0.366752721,0.406251901,0.326573196
IRQ,Iraq,Observed,1998,0.157571253,0.107864253,0.100622749
ISL,Iceland,Observed,1998,0.884530257,0.893729635,0.884347919
ISR,Israel,Observed,1998,0.682336801,0.72594888,0.704516353
ITA,Italy,Observed,1998,0.721633286,0.681745544,0.550063681
JAM,Jamaica,Observed,1998,0.579613508,0.54293181,0.456655445
JOR,Jordan,Observed,1998,0.553828192,0.513931105,0.453323354
JPN,Japan,Observed,1998,0.761834143,0.720947538,0.68510642
KAZ,Kazakhstan,Observed,1998,0.395723575,0.341694841,0.196126542
KEN,Kenya,Observed,1998,0.363976648,0.401545691,0.165917091
KGZ,Kyrgyzstan,Observed,1998,0.435740281,0.483166616,0.236842757
KHM,Cambodia,Observed,1998,0.335457247,0.296734408,0.165606532
KOR,"Korea, Republic of",Observed,1998,0.642635666,0.57808279,0.511789856
KWT,Kuwait,Observed,1998,0.580370706,0.491206256,0.566866478
LAO,Lao People's Democratic Republic,Observed,1998,0.370294698,0.386244307,0.291649554
LBN,Lebanon,Observed,1998,0.462540585,0.502054344,0.328047752
LBR,Liberia,Observed,1998,0.178610898,0.120745618,0.038528209
LBY,Libyan Arab Jamahiriya,Observed,1998,0.271856008,0.3136943,0.221641812
LCA,Saint Lucia,Observed,1998,0.614267653,0.450227029,0.475280164
LKA,Sri Lanka,Observed,1998,0.478162841,0.429489633,0.396675592
LSO,Lesotho,Observed,1998,0.508026584,0.487574002,0.440046069
LTU,Lithuania,Observed,1998,0.661299877,0.568027624,0.504439955
LUX,Luxembourg,Observed,1998,0.902118829,0.918616563,0.87792312
LVA,Latvia,Observed,1998,0.624401852,0.551113222,0.47037411
MAR,Morocco,Observed,1998,0.547797864,0.503519132,0.45625649
MDA,"Moldova, Republic of",Observed,1998,0.514063234,0.421868469,0.3332153
MDG,Madagascar,Observed,1998,0.448814302,0.354140549,0.247790645
MDV,Maldives,Observed,1998,0.579244094,0.684232209,0.342776863
MEX,Mexico,Observed,1998,0.509496374,0.578194994,0.325988758
MKD,Macedonia,Observed,1998,0.44905649,0.381318038,0.312122758
MLI,Mali,Observed,1998,0.461358254,0.305561678,0.23559217
MLT,Malta,Observed,1998,0.762534809,0.695005887,0.558708041
MNG,Mongolia,Observed,1998,0.568180381,0.451051802,0.443500006
MOZ,Mozambique,Observed,1998,0.46560955,0.425343593,0.330976182
MRT,Mauritania,Observed,1998,0.464508039,0.492968798,0.322798944
MUS,Mauritius,Observed,1998,0.685833124,0.58245935,0.509318767
MWI,Malawi,Observed,1998,0.497840397,0.451231094,0.372185258
MYS,Malaysia,Observed,1998,0.591756397,0.658943711,0.534357641
NAM,Namibia,Observed,1998,0.616486252,0.548347704,0.590101643
NER,Niger,Observed,1998,0.35988115,0.294581091,0.205587674
NGA,Nigeria,Observed,1998,0.314686898,0.277096802,0.163865063
NIC,Nicaragua,Observed,1998,0.447269055,0.378797941,0.226595035
NLD,Netherlands,Observed,1998,0.931776826,0.927117785,0.925534492
NOR,Norway,Observed,1998,0.915326119,0.907880536,0.94260151
NPL,Nepal,Observed,1998,0.443606544,0.377849529,0.26039943
NZL,New Zealand,Observed,1998,0.919163762,0.848711468,0.939357994
OMN,Oman,Observed,1998,0.586609146,0.595632694,0.604967947
PAK,Pakistan,Observed,1998,0.379494504,0.409695685,0.187765361
PAN,Panama,Observed,1998,0.606247988,0.582010966,0.411571488
PER,Peru,Observed,1998,0.481669131,0.539022472,0.346407306
PHL,Philippines,Observed,1998,0.546644097,0.509493443,0.362769804
PNG,Papua New Guinea,Observed,1998,0.451426338,0.402417769,0.254408667
POL,Poland,Observed,1998,0.716303897,0.643596671,0.619625189
PRI,NA,Observed,1998,0.728433408,0.749373053,0.536209123
PRT,Portugal,Observed,1998,0.810726868,0.740750812,0.728973723
PRY,Paraguay,Observed,1998,0.360870036,0.288632355,0.122984734
RUS,Russian Federation,Observed,1998,0.374928453,0.356304961,0.205114926
RWA,Rwanda,Observed,1998,0.273739316,0.325603886,0.264862169
SAU,Saudi Arabia,Observed,1998,0.451101116,0.462888136,0.372861176
SDN,Sudan,Observed,1998,0.205258802,0.261767479,0.184443705
SEN,Senegal,Observed,1998,0.49214647,0.483039763,0.396183803
SGP,Singapore,Observed,1998,0.845228702,0.941355316,0.917945682
SLB,Solomon Islands,Observed,1998,0.548835045,0.34163381,0.437616545
SLE,Sierra Leone,Observed,1998,0.262603489,0.222559518,0.245063468
SLV,El Salvador,Observed,1998,0.480242474,0.402595521,0.254325676
SOM,Somalia,Observed,1998,0.11075352,0.084035916,0.107261584
SRB,Serbia,Observed,1998,0.280840053,0.32424624,0.153940098
SSD,NA,Observed,1998,NA,NA,NA
